transactions,date,day_of_week,customer_name,age_group,gender,occupation,city,township,platform,device_type,transaction_type,amount_mmk,fee_mmk,net_amount_mmk,status
TXN-QAMH-85733993,10-Dec-24,Tuesday,Pyae Phyo,35-44,Female,Business Owner,Yangon,Insein,Wave Money,Android,P2P Transfer,173000,0,173000,Completed
TXN-GFGO-72064809,24-Jun-24,Monday,Htet Thant,18-24,Female,Private Sector Employee,Yangon,Insein,Wave Money,Android,P2P Transfer,143500,0,143500,Completed
TXN-UNTB-82433142,15-Dec-24,Sunday,Pyae Aye,35-44,Female,Government Employee,Yangon,Insein,KBZPay,Android,Merchant Payment,43500,0,43500,Completed
TXN-MPSS-37928419,17-Nov-24,Sunday,Thu Lay,18-24,Female,Business Owner,Yangon,Tamwe,AYAPay,Android,Bill Payment,116000,0,116000,Completed
TXN-KFRT-82770967,28-Feb-24,Wednesday,Ei Thu,35-44,Male,Factory Worker,Yangon,Insein,KBZPay,Android,P2P Transfer,209500,0,209500,Completed
TXN-BBSA-30001254,30-Sep-24,Monday,Myat Lwin,35-44,Male,Private Sector Employee,Yangon,Kamayut,AYAPay,Android,Merchant Payment,99500,0,99500,Completed
TXN-FURR-41915599,9-May-24,Thursday,Su Myint,18-24,Male,Healthcare Worker,Yangon,Hlaing,CB Pay,Android,Merchant Payment,45000,0,45000,Completed
TXN-GSQS-86541727,8-Nov-24,Friday,Khin Nyi,55+,Female,Business Owner,Yangon,Bahan,KBZPay,Android,Salary Credit,3000000,0,3000000,Completed
TXN-SJJF-92459431,23-Mar-24,Saturday,Naing Tun,55+,Female,Freelancer,Yangon,Mayangon,OK Dollar,Android,Bill Payment,35000,0,35000,Completed
TXN-CBVG-44246580,6-Dec-24,Friday,Nan Zin,55+,Male,Private Sector Employee,Yangon,Dagon,OK Dollar,Android,P2P Transfer,414500,0,414500,Completed
TXN-WMDF-22969797,30-Oct-24,Wednesday,Soe Soe,18-24,Female,Trader / Merchant,Yangon,Mingaladon,Wave Money,Android,Cash In,106500,0,106500,Completed
TXN-YLNW-76047547,12-Oct-24,Saturday,Aung Htay,35-44,Male,Private Sector Employee,Yangon,Mingaladon,Wave Money,Android,Cash In,212000,0,212000,Completed
TXN-BKTF-49423029,25-Sep-24,Wednesday,Pyae Nyi,18-24,Female,Private Sector Employee,Yangon,Dagon,AYAPay,Android,P2P Transfer,374500,0,374500,Completed
TXN-HOSX-48789054,14-Jul-24,Sunday,Aye Moe,18-24,Female,Trader / Merchant,Yangon,Hlaing,AYAPay,Android,Bill Payment,58500,0,58500,Completed
TXN-HTYD-89922434,2-Aug-24,Friday,Ma Lin,45-54,Male,Business Owner,Yangon,Insein,AYAPay,Android,Bill Payment,106000,0,106000,Completed
TXN-YQXA-71023981,11-May-24,Saturday,Aye San,45-54,Female,Student,Yangon,Tamwe,KBZPay,Android,Merchant Payment,66500,0,66500,Completed
TXN-QYPQ-19708827,7-Mar-24,Thursday,Aung San,35-44,Male,Private Sector Employee,Yangon,Thingangyun,CB Pay,Android,P2P Transfer,140000,0,140000,Completed
TXN-JMZR-22112030,29-Nov-24,Friday,Su Maung,18-24,Male,Government Employee,Yangon,Hlaing,KBZPay,Android,Cash In,186000,0,186000,Completed
TXN-MESY-42713300,7-May-24,Tuesday,Wai Htun,35-44,Female,Business Owner,Yangon,Hlaing,Wave Money,Android,Cash In,276500,0,276500,Completed
TXN-HDYR-14791085,18-Jun-24,Tuesday,Myat Htun,45-54,Male,Business Owner,Yangon,Hlaing,KBZPay,Android,Bill Payment,26500,0,26500,Completed
TXN-QAPR-07677679,25-Sep-24,Wednesday,Phyu Win,35-44,Female,Teacher,Yangon,Kamayut,AYAPay,Android,Bill Payment,32500,0,32500,Completed
TXN-AOHX-94442856,8-May-24,Wednesday,Min San,35-44,Female,Government Employee,Yangon,Sanchaung,AYAPay,Android,Merchant Payment,16500,0,16500,Completed
TXN-XXIC-62954115,2-Dec-24,Monday,Pyae Win,35-44,Male,Student,Yangon,Thingangyun,KBZPay,Android,Cash In,624500,0,624500,Completed
TXN-OVFJ-75396200,5-May-24,Sunday,Khin Maung,45-54,Female,Trader / Merchant,Yangon,Mingaladon,AYAPay,Android,P2P Transfer,84500,0,84500,Completed
TXN-MOYH-59862104,20-Jul-24,Saturday,Soe Zaw,35-44,Female,Business Owner,Yangon,Thingangyun,Wave Money,Android,Mobile Top-up,2500,0,2500,Completed
TXN-KQNR-72907469,24-Aug-24,Saturday,Nyein Phyo,35-44,Female,Trader / Merchant,Yangon,Mingaladon,KBZPay,Android,Merchant Payment,150000,0,150000,Completed
TXN-UYIW-62659648,21-Dec-24,Saturday,Nge Mon,35-44,Female,Trader / Merchant,Yangon,Dagon,CB Pay,Android,Bill Payment,71500,0,71500,Completed
TXN-SHRH-38264963,16-May-24,Thursday,Thet Maung,35-44,Male,Private Sector Employee,Yangon,Thingangyun,Wave Money,Android,P2P Transfer,337500,0,337500,Completed
TXN-GLYX-59848441,8-Mar-24,Friday,Min Kyaw,35-44,Female,Private Sector Employee,Yangon,Tamwe,Wave Money,Android,Bill Payment,51000,0,51000,Completed
TXN-MCUZ-75320656,23-Mar-24,Saturday,Myat Khaing,45-54,Male,Private Sector Employee,Yangon,Hlaing,KBZPay,Android,Merchant Payment,90000,0,90000,Completed
TXN-AQQT-45326419,31-Mar-24,Sunday,Phyu Shwe,45-54,Female,Private Sector Employee,Yangon,Tamwe,KBZPay,Android,P2P Transfer,138000,0,138000,Completed
TXN-PQIE-17874692,8-Mar-24,Friday,Khin Khaing,18-24,Male,Private Sector Employee,Yangon,Kamayut,OK Dollar,Android,Merchant Payment,13000,0,13000,Completed
TXN-QYJW-83697521,21-Jul-24,Sunday,Nan Tun,55+,Male,Trader / Merchant,Yangon,Kamayut,Wave Money,Android,P2P Transfer,185000,0,185000,Completed
TXN-UGKN-33294150,26-Jan-24,Friday,Nge Naing,35-44,Male,Trader / Merchant,Yangon,Kamayut,Wave Money,Android,P2P Transfer,133500,0,133500,Completed
TXN-BYTL-39642761,12-Sep-24,Thursday,Phyo Htun,18-24,Male,Student,Yangon,Thingangyun,Wave Money,Android,Bill Payment,165000,0,165000,Completed
TXN-JHIE-09858363,3-Jul-24,Wednesday,Ko Shwe,45-54,Male,Student,Yangon,Mayangon,AYAPay,Android,P2P Transfer,129500,0,129500,Completed
TXN-NSEQ-42327263,29-Nov-24,Friday,Phyo Khaing,25-34,Male,Private Sector Employee,Yangon,Bahan,KBZPay,Feature Phone,Merchant Payment,16500,0,16500,Completed
TXN-MBZE-17637345,18-Jun-24,Tuesday,Min Htun,18-24,Female,Trader / Merchant,Yangon,Thingangyun,AYAPay,Feature Phone,P2P Transfer,91500,0,91500,Completed
TXN-ILGN-51576252,25-Feb-24,Sunday,Aye Zin,25-34,Male,Freelancer,Yangon,Mayangon,KBZPay,Feature Phone,Salary Credit,727000,0,727000,Completed
TXN-OQAM-18110396,24-Feb-24,Saturday,Su Soe,35-44,Male,Government Employee,Yangon,Kamayut,KBZPay,Feature Phone,P2P Transfer,284000,0,284000,Completed
TXN-SUYN-22797624,2-Dec-24,Monday,Soe Zin,35-44,Female,Private Sector Employee,Yangon,Thingangyun,KBZPay,iOS,Merchant Payment,12000,0,12000,Completed
TXN-KNIJ-03243426,23-Jun-24,Sunday,Pyae Maung,25-34,Male,Government Employee,Yangon,Mingaladon,KBZPay,iOS,P2P Transfer,78500,0,78500,Completed
TXN-JBQM-69476513,5-May-24,Sunday,Su Naing,45-54,Male,Government Employee,Yangon,Dagon,KBZPay,iOS,Mobile Top-up,2000,0,2000,Completed
TXN-PKAE-57557113,24-Feb-24,Saturday,Phyu Aung,18-24,Female,Farmer,Yangon,Mingaladon,AYAPay,Feature Phone,P2P Transfer,99500,0,99500,Completed
TXN-THSG-16667707,24-Apr-24,Wednesday,Naing Lay,35-44,Female,Private Sector Employee,Yangon,Tamwe,KBZPay,iOS,Merchant Payment,17500,0,17500,Completed
TXN-OZHU-61309504,28-Feb-24,Wednesday,Khin Tun,25-34,Female,Business Owner,Yangon,Bahan,AYAPay,Feature Phone,P2P Transfer,65000,0,65000,Completed
TXN-ODRH-36199204,4-Jan-24,Thursday,Aung Htun,35-44,Female,Healthcare Worker,Yangon,Insein,KBZPay,Feature Phone,P2P Transfer,67000,0,67000,Completed
TXN-BJIX-55966449,13-Mar-24,Wednesday,Thida Khaing,25-34,Male,Factory Worker,Yangon,Hlaing,Wave Money,iOS,P2P Transfer,204000,0,204000,Completed
TXN-ZSYC-40604296,12-Dec-24,Thursday,Pyae Nyi,35-44,Female,Government Employee,Yangon,Thingangyun,AYAPay,Feature Phone,P2P Transfer,101000,0,101000,Completed
TXN-RRZM-72708039,7-Mar-24,Thursday,Ko Oo,35-44,Female,Teacher,Yangon,Sanchaung,AYAPay,Feature Phone,P2P Transfer,267000,0,267000,Completed
TXN-JIMB-39671338,13-Oct-24,Sunday,Min Zin,25-34,Female,Factory Worker,Yangon,Bahan,Wave Money,iOS,P2P Transfer,30000,0,30000,Completed
TXN-GQEP-55434839,30-Oct-24,Wednesday,Ko Lwin,35-44,Male,Trader / Merchant,Yangon,Hlaing,AYAPay,iOS,P2P Transfer,500000,0,500000,Completed
TXN-SVUP-26287986,11-Jan-24,Thursday,Htet Lwin,25-34,Female,Private Sector Employee,Yangon,Sanchaung,CB Pay,Feature Phone,P2P Transfer,76000,0,76000,Completed
TXN-HHUF-92340473,17-Nov-24,Sunday,Phyu Khaing,25-34,Male,Farmer,Yangon,Insein,CB Pay,Feature Phone,Merchant Payment,70500,0,70500,Completed
TXN-CTSH-21383512,28-Dec-24,Saturday,Min Lin,25-34,Male,Business Owner,Yangon,Hlaing,KBZPay,Feature Phone,Mobile Top-up,8500,0,8500,Completed
TXN-HUZJ-68815833,13-May-24,Monday,Nyein Nyi,25-34,Male,Student,Yangon,Dagon,KBZPay,Feature Phone,Mobile Top-up,3000,0,3000,Completed
TXN-JUMM-17644644,24-May-24,Friday,Soe Htun,18-24,Female,Freelancer,Yangon,Bahan,KBZPay,iOS,P2P Transfer,172000,0,172000,Completed
TXN-ERXC-25935892,3-May-24,Friday,Zaw Moe,35-44,Male,Government Employee,Yangon,Thingangyun,KBZPay,Feature Phone,Merchant Payment,35000,0,35000,Completed
TXN-YLVI-50096128,20-May-24,Monday,Mg Zaw,45-54,Female,Business Owner,Yangon,Thingangyun,AYAPay,Feature Phone,Bill Payment,108000,0,108000,Completed
TXN-RVNJ-45679424,3-Jul-24,Wednesday,Khin Aye,35-44,Male,Freelancer,Yangon,Sanchaung,KBZPay,Feature Phone,P2P Transfer,156500,0,156500,Completed
TXN-ZLCP-59130361,28-Apr-24,Sunday,Aye Naing,25-34,Female,Business Owner,Yangon,Bahan,KBZPay,iOS,Mobile Top-up,7000,0,7000,Completed
TXN-OXLR-03654379,10-Jan-24,Wednesday,Thida Aye,25-34,Female,Business Owner,Yangon,Insein,KBZPay,iOS,P2P Transfer,255000,0,255000,Completed
TXN-LSXE-01317399,3-Jun-24,Monday,Min Tun,55+,Female,Government Employee,Yangon,Mayangon,KBZPay,Feature Phone,Mobile Top-up,9000,0,9000,Completed
TXN-FICW-53922943,18-Jul-24,Thursday,Aung Hlaing,35-44,Female,Freelancer,Yangon,Bahan,AYAPay,Feature Phone,Bill Payment,32000,0,32000,Completed
TXN-KUVX-63268215,20-Jan-24,Saturday,Su Thant,18-24,Female,Student,Yangon,Hlaing,Wave Money,iOS,P2P Transfer,280500,0,280500,Completed
TXN-LWGL-33585230,27-Apr-24,Saturday,Kyaw Oo,25-34,Female,Government Employee,Yangon,Dagon,AYAPay,Feature Phone,P2P Transfer,338000,0,338000,Completed
TXN-JRMI-79457581,23-Mar-24,Saturday,Thida Phyo,18-24,Male,Government Employee,Yangon,Sanchaung,KBZPay,iOS,Merchant Payment,100000,0,100000,Completed
TXN-YGBK-20892311,24-Apr-24,Wednesday,Min Tun,35-44,Male,Government Employee,Yangon,Sanchaung,KBZPay,iOS,P2P Transfer,241000,0,241000,Completed
TXN-VKJX-22888159,25-Sep-24,Wednesday,Yee Soe,25-34,Female,Private Sector Employee,Yangon,Thingangyun,CB Pay,iOS,Mobile Top-up,4500,0,4500,Completed
TXN-YYXK-74991806,24-Apr-24,Wednesday,Su Maung,25-34,Male,Government Employee,Yangon,Mingaladon,OK Dollar,Feature Phone,Bill Payment,79000,0,79000,Completed
TXN-GIQF-52894347,28-Jun-24,Friday,Thu Oo,25-34,Female,Trader / Merchant,Yangon,Insein,Wave Money,iOS,Bill Payment,54000,0,54000,Completed
TXN-HSWT-28485196,9-Sep-24,Monday,Aye Lin,35-44,Female,Business Owner,Yangon,Tamwe,Wave Money,iOS,Cash In,334500,0,334500,Completed
TXN-FUEZ-54157120,9-Jul-24,Tuesday,Ko Min,25-34,Male,Private Sector Employee,Yangon,Dagon,AYAPay,Feature Phone,Mobile Top-up,10500,0,10500,Completed
TXN-YNUS-64859660,1-Aug-24,Thursday,Htet Thu,35-44,Male,Farmer,Yangon,Bahan,KBZPay,Feature Phone,Bill Payment,47500,0,47500,Completed
TXN-DQCW-62756910,2-Sep-24,Monday,Mg Tun,35-44,Male,Healthcare Worker,Yangon,Dagon,AYAPay,Feature Phone,Salary Credit,3000000,0,3000000,Completed
TXN-LZYD-85824808,7-Jul-24,Sunday,Mg Phyo,18-24,Female,Business Owner,Yangon,Dagon,AYAPay,iOS,Merchant Payment,71000,0,71000,Completed
TXN-ACBY-67719812,19-Apr-24,Friday,Ei Lin,35-44,Male,Private Sector Employee,Yangon,Hlaing,AYAPay,Feature Phone,P2P Transfer,113000,0,113000,Completed
TXN-HRHJ-73681244,28-Mar-24,Thursday,Thura Zin,25-34,Male,Private Sector Employee,Yangon,Hlaing,CB Pay,iOS,Merchant Payment,59500,0,59500,Completed
TXN-JYXA-92278129,27-Feb-24,Tuesday,Ko Thant,18-24,Male,Business Owner,Yangon,Tamwe,AYAPay,iOS,Bill Payment,200000,0,200000,Completed
TXN-XTZY-91673964,31-Mar-24,Sunday,Pyae Zin,18-24,Male,Government Employee,Yangon,Insein,Wave Money,iOS,Bill Payment,103000,0,103000,Completed
TXN-ACSZ-87761695,20-Jan-24,Saturday,Zaw Nyi,35-44,Male,Trader / Merchant,Yangon,Tamwe,KBZPay,iOS,Cash In,234500,0,234500,Completed
TXN-HQOU-93911178,4-Sep-24,Wednesday,Aung Myint,35-44,Male,Private Sector Employee,Yangon,Bahan,AYAPay,iOS,Bill Payment,106000,0,106000,Completed
TXN-WEXK-24988625,7-Nov-24,Thursday,Soe Tun,25-34,Female,Private Sector Employee,Yangon,Thingangyun,AYAPay,iOS,Bill Payment,39500,0,39500,Completed
TXN-JYZV-01840606,9-Apr-24,Tuesday,Htet Htay,35-44,Female,Teacher,Yangon,Dagon,Wave Money,iOS,P2P Transfer,500000,0,500000,Completed
TXN-EHVN-83208863,17-Aug-24,Saturday,Shwe Aye,35-44,Male,Student,Yangon,Dagon,Wave Money,iOS,Bill Payment,152000,0,152000,Completed
TXN-GBTW-70370886,8-Mar-24,Friday,Aung Myint,45-54,Female,Freelancer,Yangon,Bahan,Wave Money,iOS,P2P Transfer,258500,0,258500,Completed
TXN-VYKC-45100901,13-Jun-24,Thursday,Pyae Zaw,55+,Female,Business Owner,Yangon,Insein,AYAPay,Feature Phone,Bill Payment,56000,0,56000,Completed
TXN-TNKF-41685822,29-Feb-24,Thursday,Zaw Kyaw,18-24,Female,Business Owner,Yangon,Insein,KBZPay,iOS,Cash In,753500,0,753500,Completed
TXN-EZOO-78446084,23-May-24,Thursday,Thura Tun,18-24,Male,Private Sector Employee,Yangon,Mayangon,Wave Money,iOS,P2P Transfer,132000,0,132000,Completed
TXN-SXWQ-70175302,25-Jul-24,Thursday,Thura Maung,55+,Female,Farmer,Yangon,Kamayut,OK Dollar,iOS,Mobile Top-up,4000,0,4000,Completed
TXN-FQFX-70204489,22-May-24,Wednesday,Htet Thant,35-44,Female,Business Owner,Yangon,Thingangyun,AYAPay,Feature Phone,Bill Payment,200000,0,200000,Completed
TXN-CRFI-32122017,30-Mar-24,Saturday,Aye Moe,35-44,Female,Private Sector Employee,Yangon,Thingangyun,Wave Money,Feature Phone,Mobile Top-up,20000,0,20000,Completed
TXN-HYFM-20326192,13-Dec-24,Friday,Su Hlaing,35-44,Female,Government Employee,Yangon,Mayangon,CB Pay,Feature Phone,Merchant Payment,94500,0,94500,Completed
TXN-PINJ-59922684,7-Feb-24,Wednesday,Nyein Moe,25-34,Male,Private Sector Employee,Yangon,Mingaladon,AYAPay,Feature Phone,Mobile Top-up,4000,0,4000,Completed
TXN-VQID-43422067,9-Apr-24,Tuesday,Yee Soe,35-44,Male,Private Sector Employee,Yangon,Sanchaung,KBZPay,Feature Phone,Bill Payment,44000,0,44000,Completed
TXN-OFEF-88418435,17-Jan-24,Wednesday,Pyae San,18-24,Female,Government Employee,Yangon,Mingaladon,AYAPay,iOS,Merchant Payment,76000,0,76000,Completed
TXN-BVWK-79005305,10-Sep-24,Tuesday,Nyein Win,25-34,Male,Private Sector Employee,Yangon,Dagon,KBZPay,Feature Phone,Cash In,596000,0,596000,Completed
TXN-AEBF-64511400,6-Mar-24,Wednesday,Thet Htun,35-44,Female,Factory Worker,Yangon,Mingaladon,KBZPay,iOS,P2P Transfer,55500,0,55500,Completed
TXN-OTOO-89239008,21-Oct-24,Monday,Khin Khaing,35-44,Female,Private Sector Employee,Yangon,Kamayut,AYAPay,Feature Phone,P2P Transfer,59000,0,59000,Completed
TXN-FDLT-12869879,25-May-24,Saturday,Ko Thu,18-24,Male,Trader / Merchant,Yangon,Bahan,Wave Money,Feature Phone,P2P Transfer,167500,0,167500,Completed
TXN-LUDN-94716951,24-Mar-24,Sunday,Phyo Mon,25-34,Male,Factory Worker,Yangon,Sanchaung,KBZPay,Feature Phone,Merchant Payment,36000,0,36000,Completed
TXN-UJEB-36966699,5-Aug-24,Monday,Myo Nyi,45-54,Male,Business Owner,Yangon,Thingangyun,AYAPay,iOS,P2P Transfer,388000,0,388000,Completed
TXN-UCDG-89194060,18-Jul-24,Thursday,Aye Win,18-24,Male,Business Owner,Yangon,Mingaladon,Wave Money,Feature Phone,Mobile Top-up,6000,0,6000,Completed
TXN-NYBI-02537962,22-Nov-24,Friday,Mg Zaw,35-44,Male,Freelancer,Yangon,Mingaladon,KBZPay,iOS,Bill Payment,17000,0,17000,Completed
TXN-VDRI-63610693,10-Apr-24,Wednesday,Myat Wai,35-44,Male,Private Sector Employee,Yangon,Mayangon,OK Dollar,iOS,Merchant Payment,54000,0,54000,Completed
TXN-MOWY-54822952,21-Jan-24,Sunday,Aye Htun,18-24,Female,Business Owner,Yangon,Bahan,KBZPay,Feature Phone,Bill Payment,38000,0,38000,Completed
TXN-PKYG-07782867,28-Feb-24,Wednesday,Min Oo,18-24,Male,Student,Yangon,Kamayut,KBZPay,iOS,Bill Payment,29500,0,29500,Completed
TXN-BZMU-67129085,25-Jan-24,Thursday,Mg Khaing,25-34,Male,Freelancer,Yangon,Hlaing,KBZPay,Feature Phone,Bill Payment,34000,0,34000,Completed
TXN-WEMY-59559852,15-Dec-24,Sunday,Thida Thu,18-24,Male,Factory Worker,Yangon,Insein,AYAPay,Feature Phone,P2P Transfer,173500,0,173500,Completed
TXN-UJLY-73315920,4-Jun-24,Tuesday,Khin Win,25-34,Female,Factory Worker,Yangon,Bahan,AYAPay,iOS,Bill Payment,49500,0,49500,Completed
TXN-IKQB-61519326,30-Jan-24,Tuesday,Nan Soe,18-24,Female,Business Owner,Yangon,Bahan,AYAPay,Feature Phone,Merchant Payment,26500,0,26500,Completed
TXN-BHMG-23377834,9-Dec-24,Monday,Thu Phyo,18-24,Female,Government Employee,Yangon,Bahan,KBZPay,iOS,P2P Transfer,197000,0,197000,Completed
TXN-XTDY-62143308,28-Jul-24,Sunday,Thura Aung,45-54,Male,Business Owner,Yangon,Bahan,KBZPay,Feature Phone,P2P Transfer,500000,0,500000,Completed
TXN-SHGL-38652174,25-Aug-24,Sunday,Thida Nyi,18-24,Female,Government Employee,Yangon,Hlaing,KBZPay,Feature Phone,Merchant Payment,56000,0,56000,Completed
TXN-FFNN-64606233,9-Sep-24,Monday,Min Kyaw,25-34,Female,Student,Yangon,Dagon,Wave Money,Feature Phone,Mobile Top-up,2000,0,2000,Completed
TXN-DJVQ-68294652,3-Jan-24,Wednesday,Pyae San,18-24,Female,Freelancer,Yangon,Dagon,OK Dollar,iOS,Bill Payment,192500,0,192500,Completed
TXN-RXVI-78543521,27-May-24,Monday,Thura Nge,18-24,Male,Government Employee,Yangon,Bahan,KBZPay,iOS,Bill Payment,95000,0,95000,Completed
TXN-TQWU-60168359,9-Jun-24,Sunday,Wai Maung,25-34,Male,Government Employee,Yangon,Dagon,Wave Money,Feature Phone,P2P Transfer,174000,0,174000,Completed
TXN-JYFO-88828711,3-Feb-24,Saturday,Mg Lin,18-24,Female,Farmer,Yangon,Bahan,AYAPay,iOS,P2P Transfer,172500,0,172500,Completed
TXN-FQUO-48838248,19-Feb-24,Monday,Mg Oo,35-44,Male,Government Employee,Yangon,Hlaing,KBZPay,iOS,P2P Transfer,36000,0,36000,Completed
TXN-JLVO-26513583,3-Nov-24,Sunday,Kyaw Moe,18-24,Male,Private Sector Employee,Yangon,Tamwe,KBZPay,iOS,P2P Transfer,51500,0,51500,Completed
TXN-MHZC-91808766,2-Dec-24,Monday,Aung Htun,25-34,Male,Business Owner,Yangon,Thingangyun,Wave Money,iOS,P2P Transfer,96000,0,96000,Completed
TXN-BYQX-62195137,12-Jul-24,Friday,Nge Moe,25-34,Female,Government Employee,Yangon,Tamwe,Wave Money,Feature Phone,Merchant Payment,21500,0,21500,Completed
TXN-BIMY-70947119,7-Mar-24,Thursday,Nge Soe,35-44,Female,Private Sector Employee,Yangon,Insein,OK Dollar,iOS,Bill Payment,82000,0,82000,Completed
TXN-WKBD-49987772,16-Aug-24,Friday,Min Wai,25-34,Female,Student,Yangon,Mingaladon,Wave Money,iOS,P2P Transfer,50500,0,50500,Completed
TXN-DVQJ-13038481,23-Apr-24,Tuesday,Aye Wai,25-34,Male,Trader / Merchant,Yangon,Mayangon,Wave Money,iOS,Cash In,120000,0,120000,Completed
TXN-UMGN-74581617,16-Feb-24,Friday,Zaw Naing,18-24,Female,Government Employee,Yangon,Hlaing,OK Dollar,Feature Phone,Merchant Payment,77000,0,77000,Completed
TXN-MVYF-70057362,6-May-24,Monday,Nyein Aung,25-34,Female,Government Employee,Yangon,Dagon,Wave Money,iOS,P2P Transfer,73500,0,73500,Completed
TXN-BKFM-38103531,8-Aug-24,Thursday,Ei Naing,35-44,Male,Business Owner,Yangon,Kamayut,AYAPay,iOS,P2P Transfer,43500,0,43500,Completed
TXN-UTUM-52140407,26-Mar-24,Tuesday,Ma Oo,45-54,Male,Freelancer,Yangon,Dagon,KBZPay,Feature Phone,Merchant Payment,74500,0,74500,Completed
TXN-GENF-01043571,3-Mar-24,Sunday,Thet Nge,18-24,Male,Business Owner,Yangon,Insein,AYAPay,iOS,P2P Transfer,181000,0,181000,Completed
TXN-NDHZ-23081881,23-Jun-24,Sunday,Shwe Aung,35-44,Male,Government Employee,Yangon,Thingangyun,Wave Money,iOS,P2P Transfer,375500,0,375500,Completed
TXN-SFUF-03333500,24-Mar-24,Sunday,Pyae Lwin,45-54,Male,Trader / Merchant,Yangon,Insein,Wave Money,iOS,Cash In,277000,0,277000,Completed
TXN-LMWB-75353221,17-Dec-24,Tuesday,Min Lay,35-44,Female,Freelancer,Yangon,Kamayut,CB Pay,iOS,Cash In,55500,0,55500,Completed
TXN-ETXD-66455272,16-Dec-24,Monday,Soe Hlaing,25-34,Male,Government Employee,Yangon,Insein,Wave Money,Feature Phone,Merchant Payment,33000,0,33000,Completed
TXN-CGVN-94110725,20-Feb-24,Tuesday,Wai Mon,25-34,Female,Private Sector Employee,Yangon,Dagon,AYAPay,iOS,P2P Transfer,406500,0,406500,Completed
TXN-PARX-83198583,5-Aug-24,Monday,Nyein Win,18-24,Female,Private Sector Employee,Yangon,Dagon,Wave Money,Feature Phone,Mobile Top-up,6000,0,6000,Completed
TXN-PRRT-19969444,15-May-24,Wednesday,Thet Maung,35-44,Male,Government Employee,Yangon,Thingangyun,KBZPay,Feature Phone,Mobile Top-up,5000,0,5000,Completed
TXN-VSVH-86641320,1-Aug-24,Thursday,Nge Moe,35-44,Female,Freelancer,Yangon,Kamayut,Wave Money,iOS,Mobile Top-up,8000,0,8000,Completed
TXN-ATUI-61610332,21-Oct-24,Monday,Thida Khaing,35-44,Female,Freelancer,Yangon,Thingangyun,OK Dollar,iOS,Mobile Top-up,2000,0,2000,Completed
TXN-YSXW-72188857,5-Jan-24,Friday,Nge Thant,35-44,Female,Business Owner,Yangon,Thingangyun,Wave Money,Feature Phone,P2P Transfer,118000,0,118000,Completed
TXN-NYID-35800847,29-May-24,Wednesday,Thura Maung,25-34,Female,Government Employee,Yangon,Bahan,Wave Money,iOS,Mobile Top-up,17000,0,17000,Completed
TXN-QABT-91581929,17-Nov-24,Sunday,Aung Khaing,18-24,Female,Freelancer,Yangon,Mingaladon,KBZPay,Feature Phone,P2P Transfer,137000,0,137000,Completed
TXN-ERTM-15417933,9-Oct-24,Wednesday,Zaw Oo,18-24,Female,Business Owner,Yangon,Bahan,KBZPay,iOS,P2P Transfer,345500,0,345500,Completed
TXN-VZUN-65562943,5-Nov-24,Tuesday,Kyaw Nge,25-34,Male,Private Sector Employee,Yangon,Thingangyun,KBZPay,Feature Phone,Bill Payment,95500,0,95500,Completed
TXN-FMNT-27828938,16-Sep-24,Monday,Thet Min,35-44,Male,Business Owner,Yangon,Mingaladon,AYAPay,iOS,P2P Transfer,150000,0,150000,Completed
TXN-ROIA-82778204,18-Feb-24,Sunday,Nge Phyo,18-24,Female,Government Employee,Yangon,Bahan,KBZPay,Feature Phone,P2P Transfer,98500,0,98500,Completed
TXN-IGLX-10561912,12-Aug-24,Monday,Nyein Maung,35-44,Male,Trader / Merchant,Yangon,Mayangon,KBZPay,Feature Phone,Merchant Payment,51000,0,51000,Completed
TXN-OYRN-98998586,14-May-24,Tuesday,Soe Nyi,18-24,Male,Student,Yangon,Bahan,KBZPay,Feature Phone,Merchant Payment,27000,0,27000,Completed
TXN-JYLI-68433102,31-May-24,Friday,Htet Lay,18-24,Male,Freelancer,Yangon,Bahan,KBZPay,Feature Phone,Mobile Top-up,20000,0,20000,Completed
TXN-CPLM-89570459,23-Oct-24,Wednesday,Thida Htun,18-24,Female,Private Sector Employee,Yangon,Bahan,CB Pay,Feature Phone,Cash In,229500,0,229500,Completed
TXN-JKKP-16953357,14-Apr-24,Sunday,Myat Naing,35-44,Female,Government Employee,Yangon,Thingangyun,KBZPay,iOS,P2P Transfer,155000,0,155000,Completed
TXN-UMUM-39473735,27-Mar-24,Wednesday,Thida Maung,18-24,Male,Government Employee,Yangon,Dagon,CB Pay,iOS,Merchant Payment,22000,0,22000,Completed
TXN-RFTP-31443783,7-Dec-24,Saturday,Htet Htun,35-44,Male,Private Sector Employee,Yangon,Bahan,KBZPay,iOS,Salary Credit,681000,0,681000,Completed
TXN-JXKT-96678002,1-Mar-24,Friday,Thida Mon,18-24,Female,Government Employee,Yangon,Thingangyun,Wave Money,Feature Phone,Merchant Payment,32000,0,32000,Completed
TXN-ACGE-67258723,11-Sep-24,Wednesday,Aye Myint,35-44,Female,Trader / Merchant,Yangon,Bahan,KBZPay,iOS,Bill Payment,185000,0,185000,Completed
TXN-HBJI-19368171,9-Nov-24,Saturday,Nge Htay,25-34,Male,Student,Yangon,Tamwe,KBZPay,Feature Phone,Bill Payment,82000,0,82000,Completed
